player,team,competition_name,season_name,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution
Daniela Paz Zamora Mancilla,Chile Women's,Women's World Cup,2019,0.0,0.0,127.0,16.0,6.0,76.0,4.0,6.0,4.0,6.0,14.0,0.0,1.0,7.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,72.0,0.0,0.0,51.0,0.0,5.0,0.0
Daniela Sabatino,Italy Women's,UEFA Women's Euro,2022,0.0,0.0,14.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0
Daniela Sabatino,Italy Women's,Women's World Cup,2019,0.0,0.0,56.0,6.0,3.0,23.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,23.0,0.0,0.0,34.0,0.0,6.0,0.0
Daniela Solera Vega,Costa Rica Women's,Women's World Cup,2023,0.0,0.0,25.0,14.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,92.0,2.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
Danielle Buet,Brighton & Hove Albion WFC,FA Women's Super League,2018/2019,2.0,0.0,390.0,121.0,31.0,480.0,35.0,13.0,34.0,22.0,48.0,1.0,11.0,16.0,0.0,5.0,24.0,23.0,0.0,0.0,0.0,571.0,2.0,2.0,198.0,1.0,19.0,1.0
Danielle Buet,Brighton & Hove Albion WFC,FA Women's Super League,2019/2020,0.0,0.0,353.0,90.0,30.0,374.0,21.0,18.0,18.0,34.0,45.0,0.0,23.0,17.0,0.0,6.0,14.0,15.0,0.0,0.0,0.0,454.0,0.0,0.0,332.0,1.0,8.0,4.0
Danielle Buet,Brighton & Hove Albion WFC,FA Women's Super League,2020/2021,0.0,0.0,334.0,95.0,22.0,350.0,18.0,9.0,26.0,9.0,26.0,0.0,14.0,13.0,0.0,7.0,15.0,13.0,0.0,0.0,0.0,435.0,0.0,0.0,131.0,1.0,12.0,2.0
Danielle Carter,Arsenal WFC,FA Women's Super League,2018/2019,0.0,0.0,67.0,10.0,2.0,60.0,0.0,6.0,5.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,44.0,0.0,0.0,24.0,0.0,5.0,0.0
Danielle Carter,Reading WFC,FA Women's Super League,2020/2021,0.0,0.0,720.0,86.0,18.0,440.0,11.0,56.0,44.0,10.0,65.0,0.0,18.0,21.0,0.0,3.0,5.0,52.0,1.0,0.0,0.0,355.0,0.0,0.0,226.0,1.0,38.0,7.0
Danielle Colaprico,Chicago Red Stars,NWSL,2018,1.0,0.0,225.0,34.0,14.0,213.0,6.0,1.0,4.0,4.0,23.0,0.0,7.0,3.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,326.0,0.0,0.0,95.0,0.0,2.0,2.0
Danielle Monique Étienne,Haiti Women's,Women's World Cup,2023,0.0,0.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0
